rotations0,6,0.01843302883207798,0.01593715511262417
baseline0,29,0.012310924008488655,0.015590284019708633
#fix thisESRotations0,9,0.017465120181441307,0.01661047525703907
ESRotations0,16,0.014104902744293213,0.015214124694466591
ESRotations1,24,0.012222830206155777,0.016783244907855988
ESBaseline0,23,0.012029238045215607,0.015512577258050442
ESBaseline1,10,0.016183925792574883,0.014912186190485954
ESbaseline0,8,0.01748802326619625,0.014259987510740757
ESBaseline2,10,0.015422194264829159,0.015318538062274456
ESRotations2,18,0.013918607495725155,0.015481113456189632
ESRotations3,4,0.01962283067405224,0.017750175669789314
ESBaseline3,18,0.012925636023283005,0.01473026629537344
pooling0,13,0.015671230852603912,0.015588520094752312
ESRotations4,15,0.015873823314905167,0.015721671283245087
ESRotations4,16,0.014255359768867493,0.01556937862187624
ESRotations5,12,0.015840550884604454,0.015769239515066147
ESBaseline4,22,0.011996859684586525,0.014819245785474777
rotationsCutoff,12,0.015804175287485123,0.014597764238715172
rotationsCutoff,27,0.018025044351816177,0.016150344163179398
baseline,25,0.014723820611834526,0.015661027282476425
